Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
5,1857,1857/01,California,Los Angeles,Near Los Angeles,34.022624,-118.367045,"January: On the 29th, a mob, angered by the death of an Anglo sheriff, hanged Juan Catabo, shot and decapitated Miguel Soto, and shot Diego Navarro, Pedro Lopez, Juan Valenzuela, and two unknown Mexicans.","Sonoma County Journal (Petulama), Feb. 20, 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence; Mutilation,7,,,Diego Navarro; Pedro Lopez; Juan Valenzuela; Miguel Soto; Juan Catabo,PTH
6,1857,1857/02,California,San Buenaventura,San Buenaventura,34.28096,-119.28608,"February: On the 2nd, Encarnacion Berreyesa hanged for alleged murder.","El Clamor Publico (Los Angeles), 28 Mar. and 9 May 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Encarnacion Berreyesa,PTH
7,1857,1857/02,California,Ventura,Near Ventura,34.28096,-119.28608,"February: On the 2nd, José Jesus Espinosa hanged for alleged murder.","New York Times, Mar. 17, 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,José Jesus Espinosa,PTH
8,1857,1857/02,California,Los Angeles,Near Los Angeles,34.022624,-118.367045,"February: On the 3rd, Francisco or Guerro Ardillero hanged for alleged murder.","Los Angeles Star, 7 Feb 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Francisco Ardillero; Guerro Ardillero,PTH
9,1857,1857/02,California,Los Nietos,Los Nietos,34.022624,-118.367045,"February: On the 6th, two unknown Mexicans hanged and one shot for alleged murder.","Sonoma County Journal (Petulama), Feb. 20, 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,3,,,,PTH
10,1857,1857/02,California,Los Angeles,Los Angeles,34.022624,-118.367045,"February: On the 14th, Juan Flores hanged for alleged murder of Anglo sheriff.","Alta California (San Francisco), 2 March 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Juan Flores,PTH
11,1857,1857/02,California,Monterey,"Monterey, CA",36.60231,-121.89565,"February: On the 16th, a mob of two hundred seized José Anastacio García from jail and lynched him for alleged murder.","Santa Cruz Pacific Sentinel, 28 Feb. 1857; Santa Cruz Sentinel, 12 May 1877 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Jail; Prisoner,Seized Person(s); Lethal Violence; Extraction,1,,,José Anastacio García,PTH
12,1857,1857/02,California,El Monte,Near El Monte,34.022624,-118.367045,"February: ""Mexican Joe"" hanged and decapitated for alleged murder.","Bartlett, ed. Reminiscences of a Ranger as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence; Mutilation,1,,,Mexican Joe,PTH
13,1857,1857/02,California,Los Angeles,Los Angeles,34.022624,-118.367045,February: José Santos hanged for alleged murder.,"Pacific Sentinel, 21 Feb 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,José Santos,PTH
14,1857,1857/03,New Mexico,Sante Fe,"Sante Fe, NM",35.68641,-105.96308,"March: On the 11th, Manuel Ribera was ""shot through the bars of his jail cell"" for alleged murder.","Sante Fe Weekly Gazette, 14 March 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Jail; Prisoner,Lethal Violence,1,,,Manuel Ribera,PTH
15,1857,1857/04,Texas,Goliad,Near Goliad,28.66828,-97.38883,April: 8 unknown Mexicans lynched for alleged theft.,"San Antonio Herald, 18 Apr. 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,8,,,,PTH
16,1857,1857/04,Iowa,Jackson Co.,"Jackson county, Iowa",42.202362,-90.606381,April: Iron Hills Vigilance Committee broke into jail and seized accused murderer Alexander Gifford. They forced him to confess. He claimed he had been hired to do the killing. The mob hanged Gifford anyway.,"Black. ""Lynchings,"" p.187",Vigilante; Law,Vigilante; Iron Hills Vigilance Committee,Legal; Prisoner,Seized Person(s); Lethal Violence; Extraction,1,,,Alexander Gifford,
17,1857,1857/05,Texas,Montomery,"Montgomery, Montgomery Co., TX",30.38802,-95.69494,May: Hanging of enslaved man for alleged attempted murder of mistress,"Galveston Weekly News, May 17, 1859 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal,Lethal Violence,1,,,,PTH
18,1857,1857/05,Iowa,Andrew,"Andrew, Jackson Co., Iowa",42.155203,-90.59105,"May: Mob seized 3 thieves from DeWitt jail in Clinton. They represented a Vigilance committee. They took the 3 to Andrew, the (??) headquarters. The mob quickly hanged William Barger, one of the thieves. They held the other two for trial. After trial they were whipped. One, Michael Carroll was then turned over to authorities; the other was banished.","Black. ""Lynchings,"" p.188-190",Vigilante; Law,Vigilante; Vigilance Committee,Legal; Prisoner; Thief; Jail,Seized Person(s); Lethal Violence; Non-Lethal Violence; Threat; Extraction,1,2,,William Barger; Michael Carroll,
19,1857,1857/05,Iowa,Johnson Co.,"Johnson co., Iowa",41.700486,-91.592633,"May: Mob seized Boyd Wilkinson at his farm - actually he surrendered on the promise of being turned over to the authorities - for burning Philip Clark's barn. Clark and he had aruged over land claims. Placed in a wagon, he was drowned while crossing a river. 15 were arrested.","Black. ""Lynchings,"" p.187-189",Vigilante; Law; Land,Vigilante,Alleged Criminal; Alleged Arsonist,Seized Person(s); Lethal Violence,1,,,Boyd Wilkinson,
20,1857,1857/06,Iowa,Cedar Co.,"Cedar county, Iowa",41.784015,-91.127137,"June: Regulators attacked the cabin of a man by the name of Corry. He was shot and killed apparently because Alonzo Page, one of the Regulators, had a personal grudge.","Graham. ""Vigilance Committee,"" p.309",Vigilante; Law,Vigilante; Regulator (Vigilante),Unknown,Lethal Violence,1,,Alonzo Page,Corry,
21,1857,1857/06,Iowa,Cedar Co.,"Cedar County, Iowa",41.784015,-91.127137,"June: Regulator organization against horse thieves active. One member of the Regulators argued with Alonzo Page. Corry told the Regulators that Page was associated with horse thieves. The Regulators warned Page to leave the country. When he didn't, they came to his house night of June 18th and when Page resisted, he was shot. He died from the wounds.","Black. ""Lynchings,"" p.192",Vigilante; Law,Vigilante; Regulator (Vigilante),Vigilante; Regulator (Vigilante),Threat; Lethal Violence,1,,,Alonzo Page,
22,1857,1857/06,Iowa,Cedar Co.,"Warren's Settlement, Cedar Co., Iowa",41.784015,-91.127137,June: Mob seized Jacob A. Warner and accused him of being connected with a gang of outlaws. They tried him in a lynch court and then hanged him. At least 300 involved.,"Black. ""Lynchings,"" p.193-194",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Outlaw,Seized Person(s); Lethal Violence,1,,,Jacob A. Warner,
23,1857,1857/06,Iowa,Cedar Co.,"Cedar Co., Iowa",41.784015,-91.127137,"June: Band of Regulators capture Peter Conklin, chased and shot him and killed him.","Graham. ""Vigilance Committee,"" p.366-367; Black. ""Lynchings,"" p.194",Vigilante; Law,Vigilante; Regulator (Vigilante),Unknown,Lethal Violence,1,,,Peter Conklin,
24,1857,1857/06,Iowa,Jones Co.,"Jones Co., Iowa",42.082479,-91.129989,June: Mob of about 60 took convicted horse thief from officials and hanged him.,"Black. ""Lynchings,"" p.194",Vigilante; Law,Vigilante,Prisoner; Legal; Alleged Criminal; Alleged Thief; Alleged Horse Thief,Seized Person(s); Lethal Violence; Extraction,1,,,,
25,1857,1857/06,Iowa,Clinton Co.,"Clinton County, Iowa",41.85018,-90.22956,June: Hanging of Bennett Warren for alleged horse theft,"Black, ""Lynchings in Iowa,"" 192-194 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Thief; Alleged Horse Thief,Lethal Violence,1,,,Bennett Warren,PTH
26,1857,1857/07,Iowa,Tipton,"Tipton, Cedar Co., Iowa",41.771253,-91.129989,July: Regulators numbering about 200 broke into jail and took accused horse thieves Alonzo Gleeson and Edward Super. They held a trial for them. Super confessed. Both were hanged from a tree.,"Black. ""Lynchings,"" p.195",Vigilante; Law,Vigilante; Regulator (Vigilante),Prisoner; Legal; Alleged Criminal; Alleged Thief; Alleged Horse Thief,Seized Person(s); Lethal Violence; Prison Break,2,,,Alonzo Gleeson; Edward Super,
27,1857,1857/07,New York,New York City,NYC,40.720368,-74.001098,"July: Bowery Boys and Dead Rabbits battle it out in the 6th ward. Arrival of Metropolitan Police had little effect. Beaten by the Dead Rabbits, only the arrival of a crowd of Bowery Boys enabled the Police to retreat. Twelve were killed, including two policemen. 41 injured. More fighting continued the next day and two regiments of militia needed to quell the disorder.","Cook.Armies, p.41",Gang; Ethnic/National; Religious,Gang; Bowery Boy; Dead Rabbit; Nativist; American; Protestant; Irish; Catholic,Gang; Bowery Boy; Dead Rabbit; Nativist; American; Protestant; Irish; Catholic; Legal; Law Officer; Military; Militia,Lethal Violence; Non-Lethal Violence,12,41,,,
28,1857,1857/07,Iowa,Jones Co.,"Jones co., Iowa",42.082479,-91.129989,"July: Vigilance Committee wen to a Dr. Longs' believing he was connected to horse thieves. They found his brother and another man, whom they hanged. Long, however, escaped.","Black. ""Lynchings,"" p.196",Vigilante; Law,Vigilante; Vigilance Committee,Alleged Criminal; Alleged Thief; Alleged Horse Thief,Seized Person(s); Lethal Violence,2,,,Longs,
29,1857,1857/07,New York,New York City,NYC,40.720368,-74.001098,"July: Two Germans fighting collected a great crowd on the corner of 3rd street and Ave B. With the fight over two policemen arrived to disperse the crowd. When one man refused to move, a policeman clubb him. The crowd became threatening. Sergeant Lockwood arrived in the German area with seven more policemen and asserted his authority. He and the police were driven back under a hail of brickbats and rocks. More police arrived and clubbed their way through the crowd. They began to shoot. Crowd dispersed. One man killed.","Cook.Armies, p.44-45",Ethnic/National; Law,German,Legal; Law Officer,Lethal Violence; Non-Lethal Violence; Threat,1,,,Lockwood,
30,1857,1857/07,Iowa,Cedar Co.,"Cedar co., Iowa",41.784015,-91.127137,"July: Vigilance committee captured a man named Kelso and an accomplice. They tried them and hanged them. When one of the crowd, a young farmer named Finch, came home and told his mother that he voted for hanging, she made him feel so bad that he went and hanged himself.","Black. ""Lynchings,"" p.197",Vigilante; Law,Vigilante; Youth,Unknown,Seized Person(s); Lethal Violence,2,,Finch,Kelso,
31,1857,1857/07,Iowa,Cedar Co.,"Cedar co., Iowa",41.784015,-91.127137,July: Mob of 400 from Mechanicsville seized a man charged with counterfeiting and horse stealing and held a lynch court. Then they hanged him. Search for another horse thief proved futile.,"Black. ""Lynchings,"" p.198",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Thief; Alleged Horse Thief; Alleged Counterfeiter,Seized Person(s); Lethal Violence,1,,,,
32,1857,1857/07,Iowa,Cascade,"Cascade, Dubuque Co, IA",42.29793,-91.01339,July: Hanging of Jack Parrot for alleged horse theft,"Dubuque Weekly Express and Herald, July 15, 1857; Dubuque Daily Times, July 13, 1857 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Thief; Alleged Horse Thief,Lethal Violence,1,,,Jack Parrott,PTH
33,1857,1857/07,Kansas,Leavenworth,"Leavenworth, Kansas",39.323495,-94.926377,"July: 2,000 citizens, over protest of pro-slave justice (??) and free soil mayor Adams, broke into the jail, took out 2 murderers and hanged them.","Nichols.Bleeding Kansas, p.197",Slavery; Vigilante; Law; Racial; Political; Land,Vigilante,Legal; Prisoner; Alleged Criminal; Alleged Murderer; Jail,Seized Person(s); Lethal Violence,2,,,,
34,1857,1857/08,Texas,Escondido Creek,Near Escondido Creek,28.8515,-97.80954,August: Unknown Mexican lynched for alleged killing of a cow.,"San Antonio Ledger, 22 Aug 1857 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal,Lethal Violence,1,,,,PTH
35,1857,1857/09,Utah,Mountain Meadows,"Mountain Meadows, Utah",37.446533,-113.629976,September: Massacre of 120 emigrant whites by Mormons and Indians. Men and women and children killed. This occurred during the so-called Mormon war.,Brooks.Mountain Meadows Massacre,Religious; Racial,Mormon; Native; Militia,White; Woman; Youth,Lethal Violence,120,,,,
36,1857,1857/10,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"October: More election rioting as know-nothings prevent immigrant from voting and win local elections. 11,898 to 2,792. In the 8th ward. Ser. William Jordan of the police killed.","Scharf.Chronicles, p.558-563; H+W, p.93",Political; Ethnic/National,Political; Nativist; Know Nothing,Political; Democrat; Legal; Police,Lethal Violence; Threat,1,,,William Jordan,
37,1857,1857/12,Iowa,Jones Co.,"Jones co., Iowa",42.082479,-91.129989,"December: Regulators numbering about 400 strong captured Hiram Roberts, forced him to confess to counterfeiting then hagned him in a barn. Six of the mob were later charged, but case dropped.","Black. ""Lynchings,"" p.198-199",Vigilante; Law,Vigilante; Regulator (Vigilante),Alleged Criminal; Alleged Conterfeiter,Seized Person(s); Lethal Violence,1,,,Hiram Roberts,PTH edits
38,1857,,Iowa,Polk County,"Polk County, Iowa",41.6725,-93.58095,Vigilantes capture and hang J.W. Thomas - a murderer.,"Graham. ""Vigilance Committee,"" Palinpsest 6, (1925) 362",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Murderer,Seized Person(s); Lethal Violence,1,,,J.W. Thomas,
39,1857,1857/04,Nebraska,Plattsmouth,Plattsmouth,41.00811,-95.88749,"April: Plattsmouth vigilantes launch a raid against an alleged gang of horse thieves - the Johnson gang. The vigilantes siezed Mrs. Johnson when she attempted to cross the Missouri river and held her in custody. They then raided the Johnson residence, capturing a number of people. The vigilantes proceeded to drown three Johnson men and one Kelly in the Missouri river, and banished the rest to Iowa. A teacher, T.M. Marquett, reported to be among the vigilante ranks.","Olive Gass, The Vigilantes, Nebraska's First Defenders, Nebraska History Magazine, 3-18.",Vigilante; Law,Vigilante; Vigilance Committee,Alleged Criminal; Alleged Thief; Alleged Horse Thief; Woman,Lethal Violence; Seized Person(s),4,,T.M. Marquett,Johnson; Mrs. Johnson; Kelly,PTH
40,1857,1857/05,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"May: Striking RR workers use violence to prevent trains from running. On the 1st they ambushed a train leaving Baltimore at a deep cuty at Jackson's bridge. Shots were exchanged with police. One train got through, three others did not. A similar confrontation occurred Sunday. Several strikers wounded both days, and on the 2nd one was killed. The rioters also spiked tracks. After 3rd some settlement was reached. Slight to workers.","Scharf.Chronicles, p.555-557",Labor; Law,Striker; Worker; Railroad Worker,Railroad,Lethal Violence; Property Destroyed; Strike,1,,,,
41,1857,1857/05,Vermont,Bakersfield,"Bakersfield, VT",44.78215,-72.80225,May: Crowd fires into house of Salmon Stebbins; he returns fire and kills Perley Childs. The crowd were involved in a Charivari - at least 25 involved.,"Roth, ""Notes""",Unknown,Unknown,Unknown,Lethal Violence,1,,Perley Childs,Salmon Stebbins,PTH Edits
42,1857,1857/08,Minnesota,Gull Lake,"Gull Lake, Morrison Co.",46.40961,-94.35711,"August: Joe Shambeau, Jimmy, and Charles Gebabish allegedly murdered a man at Gull Lake. Two of the accused were described as Natives, and one was labeled a ""half-breed."" A group of Natives and some whites arrested the three, and Sheriff Poe (?) prepared to bring the three to authorities in St. Paul. En route, a group of white vigilantes intercepted the Sheriff and, holding him, seized the prisoners. They proceeded to lynch the men.","New York Times, September 7, 1857. Robert D. Pomperoy, ""Morrison County's Only Lynching"" (1966, unpublished manuscript, Minnesota Historical Society, St Paul); John D. Bessler, Legacy of Violence: Lynch Mobs and Executions in Minnesota (Minneapolis: University of Minnesota Press, 2003), 5; Ziebarth, ""Judge Lynch in Minnesota,"" 72 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,Vigilante; White,Native; Alleged Murderer; Legal; Sheriff,Lethal Violence,3,,,Joe Shambeau; Jimmy; Charles Gebabish; Poe,PTH
1,1858,1858/01,Texas,Brownsville,"Brownsville, TX",25.91386,-97.48877,January: Unknown Mexican hanged for alleged murder.,"Brownsville Nueces Valley Weekly, 23. Jan 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
2,1858,1858/02,California,Monterey,"Monterey, CA",36.60231,-121.89565,February: Jesus Anastasia lynched for alleged murder.,"Nevada Journal, 26 Feb. 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Jesus Anastasia,PTH
3,1858,1858/03,New Mexico,Albuquerque,"Albuquerque, NM",35.0834,-106.65368,March: Carlos Martínez beaten and hanged for alleged assault on girl aged 8 or 9.,"Sante Fe Weekly Gazette, 1 May 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Assailant,Lethal Violence; Non-Lethal Violence,1,,,Carlos Martínez,PTH
4,1858,1858/04,Kansas,Ft. Scott,"Ft. Scott, Kansas",37.834166,-94.70688,"April: Eight free-soilers led by James Montgomery fire upon dragoons, killing two, and wounding four.","Nichols.Bleeding Kansas, p.224-225",Slavery; Racial; Vigilante; Law,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante; Militia,Dragoon,Lethal Violence; Non-Lethal Violence,2,4,James Montgomery,,
5,1858,1858/05,New Mexico,El Moro,"El Moro, NM",35.04345,-108.32109,May: Unknown Mexican lynched for alleged murder.,"Sante Fe Weekly Gazette, 15 May 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
6,1858,1858/05,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,"May: On the 13th, Santos Peralta lynched for alleged murder.","Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Santos Peralta,PTH
7,1858,1858/05,Kansas,SE Kansas,SE Kansas,37.410671,-95.071956,"May: Marceis des Cygnes massacre. Proslavery forced under Charles Hamilton round up free-soil men. They take nine, formed a firing squad and shot them. Five were killed, four wounded, but pretended to be dead.","Nichols.Bleeding Kansas, p.227",Slavery; Vigilante; Law; Racial; Political; Land,Pro-Slavery; Border Ruffian; Vigilante; Miltia,Free-Soiler; Anti-Slavery; Free-Stater,Lethal Violence,5,4,Charles Hamilton,,
8,1858,1858/06,Louisiana,New Orleans,New Orleans,29.944425,-90.08651,"June: A committee of vigilance backed by one thousand men seized the state arsenal, the jail and large sections of the city. Well armed and with artillery they cowed local know-nothings officials. The committee wanted orderly elections. Know-nothing crowds wanted more action, and attempted an assault on the force with no success. After the election, which was peaceful, the committee disbanded its forces, although many leaders and some followers left the city. Some 11 people died during the action, at least 5 accidentally.","Asbury.French Quarter, p.298-314",Political; Vigilante,Vigilante; Vigilance Committee; Political,Nativist; Know Nothing; Political,Threat; Lethal Violence,11,,,,
9,1858,1858/12,Missouri,Western Missouri,Western Missouri,38.581279,-94.251961,"December: John Brown leads a raid from Kansas along the Little Osege River. Captures 11 slaves, belonging to 3 families, and all other removeable property - horses and clothing taken from about a dozen families. They killed only one man in the process.","Nichols.Bleeding Kansas, p.235-236",Slavery; Racial; Vigilante; Law,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante; Militia,Pro-Slavery; Border Ruffian; Slaveholder,Prison Break; Lethal Violence; Seized Property,1,,John Brown,,
10,1858,1858/01,Indiana,Ligonier,"Ligonier, Noble Co.",41.46325,-85.58987,January: McClain and McDougal hanged for alleged counterfeiting,"New York Times, Janurary 30, 1858; February 8, 1858 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Counterfeiter,Lethal Violence,2,,,McClain; McDougal,PTH
11,1858,1858/03,Nebraska,Omaha,"Omaha, NE",41.25819,-95.93812,"March: Two alleged horse thieves, Harvey Braden and John Daley, were arrested and incarcerated in Omaha. A lynch mob gathered at the prison, seized the men, and proceeded to hang them.","Alfred R. Sorenson, Early History of Omaha (Omaha, NE: Daily Bee, 1876), 118.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Theif; Alleged Horse Theif; Legal; Jail,Seized Person(s); Lethal Violence; Extraction,2,,,Harvey Braden; John Daley,PTH
12,1858,1858/05,Texas,San Antonio,"Near San Anontio, TX",29.488912,-98.532532,"May: On the 29th, 40 masked men seized Nicanor Urdiales, Pablo Longoria, Francisco Huizan, and Felipe Lopez from Mission San Jose for alleged theft. The vigilantes lynched the men.","San Antonio Ledger, 12 June 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Seized Person(s); Lethal Violence,4,,,Nicanor Urdiales; Pablo Longoria; Francisco Huizan; Felipe Lopez,PTH
13,1858,1858/05,Iowa,Iowa City,Iowa City,41.66013,-91.53103,"May: Philip Clark and Boyd Wilkinson locked in a land dispute. Wilkinson had allegedly beaten Clark, arousing anger in the community. On May 10, Clark's barn burned down, and Clark and his friends suspect Wilkinson of arson. A committee met in Iowa City, with Henry Felkner president and Samuel McCory secretary. The committee authorized force. A group consisting of Clark, Henry Gray, F.M. Irish, Alfred Curtis, Charle Dow, Daniel Marshall, Samuel Shellady, G.W. Rawson, Charles Brown, James Taylor, John McGuire, and Peter Conboy siezed Wilkinson. At least thirty-five men were part of the vigilantes. Wilkinson drowned in the Iowa River. The men swore he jumped in himself, but lynching probable. No attempt was made to save Wilkinson. A court case followed, and the governor pardoned at least on of the vigilantes. ","Erik McKinley Eriksson, ""The Boyd Wilkinson Case,"" The Palimpset 6 (1925), 95-104.",Land; Law; Vigilante,Squatter; Vigilante,Squatter; Alleged Criminal; Alleged Arsonist,Lethal Violence; Seized Person(s),1,,Philip Clark; Henry Gray; F.M. Irish; Alfred Curtis; Charle Dow; Daniel Marshall; Samuel Shellady; G.W. Rawson; Charles Brown; James Taylor; John McGuire; Peter Conboy; Henry Felkner; Samuel McCory,Boyd Wilkinson,PTH
14,1858,1858/06,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,June: Joaquin Valenzuela and Luciano Tapia lynched for alleged murder.,"Angel, History of San Luis Obispo County as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,Joaquin Valenzuela; Luciano Tapia,PTH
15,1858,1858/06,Kansas,Lawrence,Lawrence,38.9716,-95.23499,"June: Land claim dispute turned deadly in Kansas between two Free-Soil men. Gaius (called Davis in paper) Jenkins was in the habit of fetching water from a well located on a disputed claim. Jenkins went to the well with an ax and four armed friends. James Lane, the other claimant, ordered Jenkins not to approach lest he be shot. Jenkins continued to advance, at which point Lane produced a shotgun and fired. 98 shot hit Jenkins in the breast, legs, and stomach, killing him. One of Jenkins's friends returned fire, hitting Lane in the leg. Lynching was threatened after, but the law intervened. ","The Nebraska City News, June 12, 1858.",Land; Vigilante; Law,Squatter; Free-Soiler; Vigilante,Squatter; Free-Soiler,Lethal Violence; Non-Lethal Violence; Threat,1,1,James Lane; Gaius Jenkins,James Lane; Gaius Jenkins,PTH
16,1858,1858/06,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,"June: On the 12th, Pío Linares shot for alleged murder.","Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Pío Linares,PTH
17,1858,1858/06,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,"June: On the 14th, Miguel Blanco, Rafael Herrada, and Deiderio Grijalva lynched for alleged murder.","Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,3,,,Miguel Blanco; Rafael Herrada; Deiderio Grijalva,PTH
18,1858,1858/06,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,"June: On the 19th, José Antonio García lynched for alleged murder.","Los Angeles Star, 12 June 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,José Antonio García,PTH
19,1858,1858/06,California,San Luis Obispo,San Luis Obispo,35.2807,-120.6605,"June: On the 28th, Nieves Robles shot for alleged murder.","Angel, History of San Luis Obispo County as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Nieves Robles,PTH
20,1858,1858/06,Nebraska,Elkhorn,Elkhorn,41.28582,-96.23711,"June: A man named Newman allegedly jumped the claim of a man named Mathews. A feud erupts over the timber rights on the disputed land. Mathews and the claim club go to visit Newman. Newman flees to his house, but Mathews shoots him.","Nebraska Advertister, June 24, 1858",Land; Vigilante; Law,Claim Club; Squatter; Vigilante,Squatter,Lethal Violence,1,,Mathews,Newman,PTH
21,1858,1858/11,California,Santa Barbara,Santa Barbara,34.42414,-119.69101,"November: On the 30th, Pancho Daniel ""taken from jail and hanged"" for alleged murder.","Los Angeles Star, 12 June 1858 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Jail; Prisoner,Seized Person(s); Lethal Violence; Extraction,1,,,Pancho Daniel,PTH
